dataset,hybrid-sil-cpp,romulo,resultado,,,,,,
data-lakes\clustering\Rockfall-Risk\H-2.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\H-3.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\H-4.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\J-1.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\J-2.csv,2,14,Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\J-3.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\J-4.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\K-6.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\K-7.csv,2,3,Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\K-8.csv,2,26,Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\K-9.csv,2,9,Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\Z-1.csv,2,2,Ganha ou Empata,,
data-lakes\clustering\Rockfall-Risk\Z-2.csv,2,2,Ganha ou Empata,,
data-lakes\clustering\Second-Language\37100078.csv,2,2,Ganha ou Empata,,
data-lakes\clustering\Second-Language\37100141.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Second-Language\CS_ANG.csv,3,2,Perde,,,
data-lakes\clustering\Teen-Pregnancy\13100166.csv,2,2,Ganha ou Empata,,
data-lakes\clustering\Teen-Pregnancy\13100169.csv,2,39,Ganha ou Empata,,
data-lakes\clustering\Teen-Pregnancy\13100170.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100172.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100173.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Tuition-Fees\34100282.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Tuition-Fees\37100004.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Tuition-Fees\37100005.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\Tuition-Fees\37100006.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\UBER-Trips\jan-feb-foils.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\WiFi-Hotspots\DailyUsage.csv,2,3,Ganha ou Empata,,,,,,
data-lakes\clustering\WiFi-Hotspots\csv-4.csv,2,2,Ganha ou Empata,,,,,,
data-lakes\clustering\WiFi-Hotspots\eduroam.csv,2,3,Ganha ou Empata,,,,,,
data-lakes\clustering\WiFi-Hotspots\geojson-2.csv,8,2,Perde,,,,,,
data-lakes\clustering\WiFi-Hotspots\json-5.csv,4,2,Perde,,,,,,
