dataset,hybrid-sil-cpp,romulo,resultado,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100020.csv,"367,18","113,6969047",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100024.csv,"103,178","11,98688722",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100027.csv,"101,277","9,185982227",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100030.csv,"100,839","9,45903039",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100084.csv,"296,131","32,79551482",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100166.csv,"227,533","36,14957023",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100192.csv,"274,836","11,17323446",Perde,,,,,,,,,
data-lakes\clustering\Gas-Emissions\co2-nuts-2.csv,"25,3145","3,011745214",Perde,,,,,,,,,
data-lakes\clustering\Gas-Emissions\med_en1.csv,"7,07918","2,233504295",Perde,,,,,,,,,
data-lakes\clustering\Gas-Emissions\med_en2.csv,"15,5123","2,686109066",Perde,,,,,,,,,
data-lakes\clustering\Gas-Emissions\t2020_30.csv,"82,3236","2,921794415",Perde,,,,,,,,,
data-lakes\clustering\Hiking-Tours\videos_utf8.csv,"386,953","39,71878076",Perde,,,,,,,,,
data-lakes\clustering\Marriage\both_sexes.csv,"30,5596","2,218964338",Perde,,,,,,,,,
data-lakes\clustering\Marriage\divorce.csv,"15,261","1,986878395",Perde,,,,,,,,,
data-lakes\clustering\Marriage\men.csv,"49,4774","2,258417845",Perde,,,,,,,,,
data-lakes\clustering\Marriage\women.csv,"65,2807","2,270909548",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\B-9.csv,"63,9957","3,624491215",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\C-6.csv,"43,6724","3,560152769",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\D-1.csv,"86,8343","3,796168089",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\E-7.csv,"55,0383","3,625945091",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\F-4.csv,"118,672","3,729358435",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\G-3.csv,"60,691","3,873186827",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\H-1.csv,"337,431","47,79905605",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\H-2.csv,"340,242","51,61277103",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\H-3.csv,"337,7","54,21067071",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\H-4.csv,"339,87","55,96771884",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\J-1.csv,"329,388","54,09200621",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\J-2.csv,"332,519","48,53547478",Perde,,
data-lakes\clustering\Rockfall-Risk\J-3.csv,"338,643","47,07445765",Perde,,
data-lakes\clustering\Rockfall-Risk\J-4.csv,"331,736","56,86368489",Perde,,
data-lakes\clustering\Rockfall-Risk\K-6.csv,"326,179","56,85684729",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\K-7.csv,"325,054","55,05967307",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\K-8.csv,"326,731","48,21031618",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\K-9.csv,"328,891","49,19002533",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\Z-1.csv,"332,08","50,77708125",Perde,,,,,,,,,
data-lakes\clustering\Rockfall-Risk\Z-2.csv,"325,041","52,90758657",Perde,,,,,,,,,
data-lakes\clustering\Second-Language\37100078.csv,"14,5994","2,860949993",Perde,,,,,,,,,
data-lakes\clustering\Second-Language\37100141.csv,"14,5413","2,84887743",Perde,,,,,,,,,
data-lakes\clustering\Second-Language\CS_ANG.csv,"9,79192","1,960674763",Perde,,,,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100166.csv,"72,1965","9,134803057",Perde,,,,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100169.csv,"41,0363","6,765574455",Perde,,,,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100170.csv,"254,281","24,34191704",Perde,,,,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100172.csv,"34,5306","6,73067832",Perde,,,,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100173.csv,"34,8889","7,675364256",Perde,,,,,,,,,
data-lakes\clustering\Tuition-Fees\34100282.csv,"365,887","128,0547106",Perde,,,,,,,,,
data-lakes\clustering\Tuition-Fees\37100004.csv,"340,594","70,89868426",Perde,,,,,,,,,
data-lakes\clustering\Tuition-Fees\37100005.csv,"340,368","57,42545557",Perde,,,,,,,,,
data-lakes\clustering\Tuition-Fees\37100006.csv,"349,249","72,69703484",Perde,,,,,,,,,
data-lakes\clustering\UBER-Trips\jan-feb-foils.csv,"117,543","3,166891336",Perde,,,,,,,,,
data-lakes\clustering\WiFi-Hotspots\DailyUsage.csv,"8,40861","1,753469467",Perde,,,,,,,,,
data-lakes\clustering\WiFi-Hotspots\csv-4.csv,"10,5053","1,80048418",Perde,,,,,,,,,
data-lakes\clustering\WiFi-Hotspots\eduroam.csv,"6,63484","1,866189241",Perde,,,,,,,,,
data-lakes\clustering\WiFi-Hotspots\geojson-2.csv,"19,8347","2,035349369",Perde,,,,,,,,,
data-lakes\clustering\WiFi-Hotspots\json-5.csv,"14,6471","2,057272673",Perde,,,,,,,,,
