dataset,hybrid-sil-cpp,romulo,resultado,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-12.csv,"14,5844","3,574510574",Perde,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-14.csv,"7,52272","2,025288343",Perde,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-15.csv,"14,0847","2,171669483",Perde,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-35.csv,"18,4436","2,148885489",Perde,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-36.csv,"15,8728","2,205266714",Perde,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-37.csv,"62,027","2,222735405",Perde,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-38.csv,"59,1435","2,320035458",Perde,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-42.csv,"53,8831","2,267119646",Perde,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-45.csv,"42,291","2,256202698",Perde,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-47.csv,"29,357","2,045693159",Perde,,,,,,,,,
data-lakes\clustering\Agrifood-Exports\tab-94.csv,"6,76785","2,02295351",Perde,,,,,,,,,
data-lakes\clustering\Art-Funding\21100183.csv,"19,122","2,445556879",Perde,,,,,,,,,
data-lakes\clustering\Art-Funding\21100245.csv,"7,16424","1,983714819",Perde,,,,,,,,,
data-lakes\clustering\Art-Funding\artpublic.csv,"28,0542","2,892939568",Perde,,,,,,,,,
data-lakes\clustering\Art-Funding\ccsf_en.csv,"310,212","6,296335459",Perde,,,,,,,,,
data-lakes\clustering\Brasilian-Taxes\dados.csv,"362,091","346,0287831",Perde,,,,,,,,,
data-lakes\clustering\COVID\covid-line-list.csv,"314,178","27,78400159",Perde,,,,,,,,,
data-lakes\clustering\COVID\estimations.csv,"80,0756","3,031449556",Perde,,,,,,,,,
data-lakes\clustering\COVID\liz-friedman-covid.csv,"27,4259","2,332385302",Perde,,,,,,,,,
data-lakes\clustering\Crimes\Crime1.csv,"584,028","109,3465283",Perde,,,,,,,,,
data-lakes\clustering\Crimes\accidental_deaths.csv,"308,2","6,756724358",Perde,,,,,,,,,
data-lakes\clustering\Crimes\children_injured.csv,"260,794","6,980813503",Perde,,,,,,,,,
data-lakes\clustering\Crimes\children_killed.csv,"308,419","6,549701452",Perde,,,,,,,,,
data-lakes\clustering\Crimes\knifecrime2.csv,"330,044","33,61896777",Perde,,,,,,,,,
data-lakes\clustering\Crimes\teens_injured.csv,"304,735","7,350473881",Perde,,,,,,,,,
data-lakes\clustering\Crimes\teens_killed.csv,"222,494","7,059618235",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000000.csv,"312,982","7,798449516",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000001.csv,"313,671","6,494850397",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000002.csv,"311,841","6,216016293",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000003.csv,"317,939","6,440295696",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000004.csv,"285,881","8,732650995",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000005.csv,"308,827","6,054982662",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000006.csv,"315,117","6,041692734",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100009-000007.csv,"17,9175","3,418372631",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100011.csv,"10,0435","2,354403257",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100016.csv,"23,4635","5,709104061",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100019.csv,"17,2204","2,619654655",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100020.csv,"130,996","3,985209227",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100021.csv,"305,13","4,799224377",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100029.csv,"13,3484","2,042161942",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100033.csv,"9,42685","2,271836758",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100037.csv,"320,083","26,10974693",Perde,,,,,,,,,
data-lakes\clustering\Divorces\39100038.csv,"15,2453","2,452753305",Perde,,,,,,,,,
data-lakes\clustering\EU-Fruit-Data\tag00120.csv,"306,768","6,877953291",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100004.csv,"103,68","10,60144758",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100009.csv,"374,885","109,2125897",Perde,,,,,,,,,
data-lakes\clustering\Farm-Operators\32100010.csv,"367,818","92,48720956",Perde,,,,,,,,,
