dataset,hybrid-sil-cpp,romulo,resultado,,,,,,
data-lakes\clustering\Marriage\both_sexes.csv,13855574441,"44,53824672",Ganha ou Empata,,,,,,
data-lakes\clustering\Marriage\divorce.csv,363409870516,0,Ganha ou Empata,,,,,,
data-lakes\clustering\Marriage\men.csv,53837435241,"39,86904475",Ganha ou Empata,,,,,,
data-lakes\clustering\Marriage\women.csv,"303,5728282","37,4781031",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\B-9.csv,"1732,934653","1182,068492",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\C-6.csv,"5166114,779","7195,636556",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\D-1.csv,"97983,69739","84141,34612",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\E-7.csv,"6063807,304","9594,344261",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\F-4.csv,"85113,72531","72406,72497",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\G-3.csv,"4372675,829","3780,519034",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\H-1.csv,"21247,66081","703,4306801",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\H-2.csv,"22098,2921","8761,845571",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\H-3.csv,"19164,58199","8458,022061",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\H-4.csv,"21291,47252","8886,802626",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\J-1.csv,"19873,31694","9757,127875",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\J-2.csv,"21704,09167","890,6509223",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\J-3.csv,"21134,84159","8298,549645",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\J-4.csv,"10325,09093","8581,694249",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\K-6.csv,"21617,64153","8691,48524",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\K-7.csv,"21156,75096","9816,503871",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\K-8.csv,"23622,53424","3262,122786",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\K-9.csv,"20433,45395","2300,125691",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\Z-1.csv,"187126,3601","231,8386127",Ganha ou Empata,,,,,,
data-lakes\clustering\Rockfall-Risk\Z-2.csv,"7122,011558","1270,070365",Ganha ou Empata,,
data-lakes\clustering\Second-Language\37100078.csv,"6929787,472","76,800503",Ganha ou Empata,,
data-lakes\clustering\Second-Language\37100141.csv,633956390965921,"141,7253521",Ganha ou Empata,,,
data-lakes\clustering\Second-Language\CS_ANG.csv,"554,4186352","8,025355155",Ganha ou Empata,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100166.csv,1359976186471,"41,43938729",Ganha ou Empata,,,
data-lakes\clustering\Teen-Pregnancy\13100169.csv,"867993,1161","2,45194E+31",Perde,,
data-lakes\clustering\Teen-Pregnancy\13100170.csv,"2267,600311","396,9099445",Ganha ou Empata,,
data-lakes\clustering\Teen-Pregnancy\13100172.csv,"1197709,509","845,3543831",Ganha ou Empata,,,,,,
data-lakes\clustering\Teen-Pregnancy\13100173.csv,"1277823,858","473,3824086",Ganha ou Empata,,,
data-lakes\clustering\Tuition-Fees\34100282.csv,"174628437,8","491,107733",Ganha ou Empata,,,
data-lakes\clustering\Tuition-Fees\37100004.csv,"219868204,8","267,3995027",Ganha ou Empata,,,
data-lakes\clustering\Tuition-Fees\37100005.csv,"2492,143479","212,4632089",Ganha ou Empata,,,
data-lakes\clustering\Tuition-Fees\37100006.csv,"220587363,3","266,0086875",Ganha ou Empata,,,
data-lakes\clustering\UBER-Trips\jan-feb-foils.csv,"45,63050847","2,187394463",Ganha ou Empata,,,
data-lakes\clustering\WiFi-Hotspots\DailyUsage.csv,"135,0631153",0,Ganha ou Empata,,,
data-lakes\clustering\WiFi-Hotspots\csv-4.csv,"939,4548503","939,4548503",Ganha ou Empata,,,
data-lakes\clustering\WiFi-Hotspots\eduroam.csv,"15,11764706",0,Ganha ou Empata,,,
data-lakes\clustering\WiFi-Hotspots\geojson-2.csv,"4930,859353","13,05357143",Ganha ou Empata,,,
data-lakes\clustering\WiFi-Hotspots\json-5.csv,"92,91985705","26,07142857",Ganha ou Empata,,,
